,0
spectral_bandwidth,0.09360188
chroma_stft,0.075611085
rmse,0.07274553
mfcc12,0.060967013
mfcc9,0.051737413
mfcc4,0.049812365
rolloff,0.047322985
zcr,0.04637316
mfcc1,0.041084893
mfcc6,0.03655254
mfcc17,0.034130365
mfcc2,0.030776149
spectral_centroid,0.030766578
mfcc5,0.029834487
mfcc7,0.029573243
mfcc8,0.02936133
mfcc20,0.027784154
mfcc13,0.026866976
mfcc10,0.025040472
mfcc18,0.024918932
mfcc11,0.0243073
mfcc3,0.023145543
mfcc14,0.023104686
mfcc15,0.022789698
mfcc16,0.021995045
mfcc19,0.01979623
